ema_span,vol_window,vol_mult,min_half_spread,inv_skew,pnl,sharpe,max_dd,final_pos
5,10,2.0,2.0,0.5,196.0,0.1258173762929475,-175.0,1
5,10,2.0,1.0,0.5,196.0,0.1258173762929475,-175.0,1
10,10,0.5,1.0,0.0,3377.0,0.12459412783018564,-1977.0,50
10,20,2.0,2.0,1.0,29.0,0.11959553830550478,-87.5,0
10,20,2.0,1.0,1.0,29.0,0.11959553830550478,-87.5,0
30,20,3.0,1.0,1.0,126.0,0.11959487873096485,-101.5,1
30,20,3.0,2.0,1.0,126.0,0.11959487873096485,-101.5,1
5,5,1.5,2.0,0.5,227.0,0.1187711336833069,-148.0,1
20,20,0.5,2.0,0.0,3347.0,0.11767662309789498,-1783.0,50
30,5,1.5,5.0,0.5,154.0,0.11599678920325496,-176.0,0
20,5,0.5,2.0,0.0,3243.0,0.1133794142788026,-1834.0,50
20,10,2.0,2.0,1.0,140.0,0.11281153961449365,-193.0,-1
10,20,0.5,1.0,0.0,3130.0,0.11106496226983822,-2017.0,50
10,10,2.0,2.0,1.0,114.0,0.11081757621937023,-163.0,1
10,10,2.0,1.0,1.0,114.0,0.11081757621937023,-163.0,1
10,10,2.0,3.0,0.5,70.0,0.10997316450740888,-175.0,0
10,20,2.0,2.0,0.5,48.0,0.10974534542342049,-64.0,2
10,20,2.0,1.0,0.5,48.0,0.10974534542342049,-64.0,2
20,5,1.5,3.0,1.0,164.0,0.1093603461612694,-266.0,2
20,10,2.0,1.0,1.0,127.0,0.10885774863603215,-208.0,-1
10,20,1.5,3.0,1.0,30.0,0.10656674516984431,-96.0,0
10,5,0.5,1.0,0.0,2985.0,0.10590587322293474,-1933.0,50
20,5,0.5,1.0,0.5,303.0,0.10586802448402605,-301.0,0
10,5,1.5,2.0,1.0,107.0,0.10474298272315023,-173.0,1
20,10,0.5,2.0,0.0,2994.0,0.10412783118606292,-1851.0,50
30,20,1.5,1.0,1.0,168.0,0.10252998196289212,-232.0,1
5,20,1.0,3.0,0.5,57.0,0.1022598152200817,-180.0,0
20,20,1.5,5.0,1.0,38.0,0.10002772902746897,-124.0,0
30,20,1.5,5.0,0.5,146.0,0.09516402468070684,-176.0,2
10,10,1.0,3.0,0.5,74.0,0.09432544634059693,-133.0,5
30,10,1.0,1.0,0.0,2228.0,0.09242754614671718,-1769.0,45
10,5,1.5,3.0,0.5,56.0,0.09233912793120908,-175.0,0
30,5,1.5,5.0,1.0,68.0,0.09221198608480219,-120.0,1
20,10,2.0,3.0,1.0,114.0,0.09033348381018026,-203.0,1
5,20,1.5,1.0,0.5,51.0,0.08781931952095876,-76.0,1
5,20,1.5,2.0,0.5,51.0,0.08781931952095876,-76.0,1
30,10,2.0,5.0,1.0,79.0,0.08497752100371572,-160.0,1
