feature,importance,target,horizon,model,product,vol_gate_q
fam_mean_microprice_dev_lag5,7.734214690569789,fwd_ret,100,ridge,POOLED,4
microprice_dev_lag5,7.670786997319765,fwd_ret,100,ridge,POOLED,4
microprice_dev_lag1,4.1420048138767545,fwd_ret,100,ridge,POOLED,4
obi_l3_lag20,3.827680273023026,fwd_ret,100,ridge,POOLED,4
std_500_lag5,1.7269072915082113,fwd_ret,100,ridge,POOLED,4
std_500_lag1,1.4347395439655357,fwd_ret,100,ridge,POOLED,4
obi_l1_lag20,1.3950137447515019,fwd_ret,100,ridge,POOLED,4
signed_flow_20_lag50,1.0223985640470847,fwd_ret,100,ridge,POOLED,4
signed_flow_20_lag20,0.7403003475502073,fwd_ret,100,ridge,POOLED,4
spread_bps_lag20,0.6246358098229574,fwd_ret,100,ridge,POOLED,4
fam_mean_ret_10_lag5,0.6166779469330376,fwd_ret,100,ridge,POOLED,4
fam_mean_ret_10_lag20,0.3682693677745205,fwd_ret,100,ridge,POOLED,4
signed_flow_20_lag5,0.3680991650825708,fwd_ret,100,ridge,POOLED,4
std_500_lag20,0.3456732693969515,fwd_ret,100,ridge,POOLED,4
spread_bps_lag5,0.3321546977605911,fwd_ret,100,ridge,POOLED,4
spread_bps_lag50,0.28189367466644805,fwd_ret,100,ridge,POOLED,4
std_50_lag5,0.255075451423771,fwd_ret,100,ridge,POOLED,4
std_50_lag1,0.25379337721606793,fwd_ret,100,ridge,POOLED,4
signed_flow_20_lag1,0.18888905684970175,fwd_ret,100,ridge,POOLED,4
vwap_dev_lag50,0.13695760652773548,fwd_ret,100,ridge,POOLED,4
ret_10_lag50,0.09399061531570435,fwd_ret,100,ridge,POOLED,4
std_500_lag50,0.0873780374402012,fwd_ret,100,ridge,POOLED,4
ret_10_lag20,0.05711920908433714,fwd_ret,100,ridge,POOLED,4
spread_bps_lag1,0.054911556295768854,fwd_ret,100,ridge,POOLED,4
ret_1_lag50,0.04730307715451624,fwd_ret,100,ridge,POOLED,4
std_50_lag20,0.04556905146762059,fwd_ret,100,ridge,POOLED,4
vwap_dev_lag20,0.03676974046213878,fwd_ret,100,ridge,POOLED,4
vwap_dev_lag1,0.02723527086537328,fwd_ret,100,ridge,POOLED,4
vwap_dev_lag5,0.026302860755654356,fwd_ret,100,ridge,POOLED,4
ret_1_lag5,0.018036238389296178,fwd_ret,100,ridge,POOLED,4
ret_1_lag20,0.01014511759195627,fwd_ret,100,ridge,POOLED,4
ret_10_lag1,0.009499812654517202,fwd_ret,100,ridge,POOLED,4
std_50_lag50,0.005916740136774336,fwd_ret,100,ridge,POOLED,4
ret_1_lag1,0.0033462766719793554,fwd_ret,100,ridge,POOLED,4
ret_10_lag5,0.0021898277204045,fwd_ret,100,ridge,POOLED,4
std_500_lag50,1613540290.0,fwd_ret,100,lgbm,POOLED,4
std_500_lag1,911781275.109375,fwd_ret,100,lgbm,POOLED,4
std_500_lag20,736256067.203125,fwd_ret,100,lgbm,POOLED,4
std_50_lag50,657612618.296875,fwd_ret,100,lgbm,POOLED,4
vwap_dev_lag50,582185366.0,fwd_ret,100,lgbm,POOLED,4
std_500_lag5,576576209.09375,fwd_ret,100,lgbm,POOLED,4
std_50_lag1,533615545.3984375,fwd_ret,100,lgbm,POOLED,4
std_50_lag20,479687601.5078125,fwd_ret,100,lgbm,POOLED,4
std_50_lag5,354621761.8984375,fwd_ret,100,lgbm,POOLED,4
spread_bps_lag50,339404009.0,fwd_ret,100,lgbm,POOLED,4
spread_bps_lag1,287586713.6015625,fwd_ret,100,lgbm,POOLED,4
vwap_dev_lag20,287373277.203125,fwd_ret,100,lgbm,POOLED,4
spread_bps_lag5,266751065.796875,fwd_ret,100,lgbm,POOLED,4
vwap_dev_lag1,258817151.796875,fwd_ret,100,lgbm,POOLED,4
signed_flow_20_lag20,252020840.59375,fwd_ret,100,lgbm,POOLED,4
spread_bps_lag20,238897839.296875,fwd_ret,100,lgbm,POOLED,4
vwap_dev_lag5,210742146.296875,fwd_ret,100,lgbm,POOLED,4
signed_flow_20_lag50,199442627.609375,fwd_ret,100,lgbm,POOLED,4
signed_flow_20_lag1,159338411.109375,fwd_ret,100,lgbm,POOLED,4
signed_flow_20_lag5,126238199.8046875,fwd_ret,100,lgbm,POOLED,4
ret_10_lag1,57752084.6015625,fwd_ret,100,lgbm,POOLED,4
ret_10_lag20,57136060.203125,fwd_ret,100,lgbm,POOLED,4
ret_10_lag50,56369215.6015625,fwd_ret,100,lgbm,POOLED,4
ret_10_lag5,55639418.6953125,fwd_ret,100,lgbm,POOLED,4
ret_1_lag50,7033039.40625,fwd_ret,100,lgbm,POOLED,4
ret_1_lag1,4384187.2890625,fwd_ret,100,lgbm,POOLED,4
ret_1_lag20,3124508.1015625,fwd_ret,100,lgbm,POOLED,4
ret_1_lag5,873943.6953125,fwd_ret,100,lgbm,POOLED,4
fam_mean_microprice_dev_lag20,751550.3984375,fwd_ret,100,lgbm,POOLED,4
fam_mean_microprice_dev_lag5,565505.0,fwd_ret,100,lgbm,POOLED,4
fam_mean_ret_10_lag5,400979.0,fwd_ret,100,lgbm,POOLED,4
fam_mean_obi_l1_lag5,269083.3984375,fwd_ret,100,lgbm,POOLED,4
microprice_dev_lag1,218404.0,fwd_ret,100,lgbm,POOLED,4
obi_l3_lag5,135574.0,fwd_ret,100,lgbm,POOLED,4
microprice_dev_lag20,0.0,fwd_ret,100,lgbm,POOLED,4
